îÑè„ID,å⁄ãqID,å_ñÒID,îÑè„ì˙,îÑè„
S-1000072,C-1000222,N-1002716,2021/1/1,6000
S-1000073,C-1000458,N-1000683,2021/1/1,50000
S-1000074,C-1000599,N-1001044,2021/1/1,10000
S-1000075,C-1000599,N-1001042,2021/1/1,10000
S-1000076,C-1000599,N-1001041,2021/1/1,10000
S-1000077,C-1000532,N-1001040,2021/1/1,15000
S-1000078,C-1000792,N-1002626,2021/1/1,9000
S-1000079,C-1000458,N-1000684,2021/1/1,50000
S-1000080,C-1001095,N-1002625,2021/1/1,30000
S-1000081,C-1001093,N-1002623,2021/1/1,30000
S-1000082,C-1000656,N-1001449,2021/1/1,15000
S-1000083,C-1001095,N-1002622,2021/1/1,30000
S-1000084,C-1000656,N-1001450,2021/1/1,15000
S-1000085,C-1001093,N-1002621,2021/1/1,30000
S-1000086,C-1001198,N-1003055,2021/1/1,50000
S-1000087,C-1001093,N-1002624,2021/1/1,30000
S-1000088,C-1000481,N-1000903,2021/1/1,80000
S-1000089,C-1000905,N-1002042,2021/1/1,10000
S-1000090,C-1000734,N-1001687,2021/1/1,29000
S-1000091,C-1000251,N-1000324,2021/1/1,9000
S-1000092,C-1000501,N-1001683,2021/1/1,80000
S-1000093,C-1000782,N-1001893,2021/1/1,50000
S-1000094,C-1000782,N-1001892,2021/1/1,15000
S-1000095,C-1000782,N-1001891,2021/1/1,15000
S-1000179,C-1000782,N-1001890,2021/1/1,50000
S-1000180,C-1000611,N-1001094,2021/1/1,10000
S-1000181,C-1000905,N-1002040,2021/1/1,10000
S-1000182,C-1000501,N-1001684,2021/1/1,80000
S-1000183,C-1000013,N-1001685,2021/1/1,50000
S-1000184,C-1000951,N-1002183,2021/1/1,30000
S-1000185,C-1000013,N-1001686,2021/1/1,50000
S-1000186,C-1000951,N-1002182,2021/1/1,30000
S-1000187,C-1000905,N-1002041,2021/1/1,10000
S-1000188,C-1000547,N-1000944,2021/1/1,30000
S-1000189,C-1000748,N-1002791,2021/1/1,9000
S-1000190,C-1000481,N-1000904,2021/1/1,80000
S-1000191,C-1000495,N-1001752,2021/1/1,13000
S-1000192,C-1000527,N-1001510,2021/1/1,9000
S-1000193,C-1001275,N-1003303,2021/1/1,50000
S-1000194,C-1000771,N-1001508,2021/1/1,80000
S-1000195,C-1001278,N-1003304,2021/1/1,9000
S-1000196,C-1001274,N-1003305,2021/1/1,50000
S-1000197,C-1000577,N-1001304,2021/1/1,30000
S-1000270,C-1001223,N-1003134,2021/1/1,30000
S-1000271,C-1001274,N-1003306,2021/1/1,50000
S-1000272,C-1001223,N-1003135,2021/1/1,30000
S-1000273,C-1000342,N-1001306,2021/1/1,9000
S-1000274,C-1000577,N-1001307,2021/1/1,30000
S-1000275,C-1000577,N-1001308,2021/1/1,30000
S-1000276,C-1001037,N-1002414,2021/1/1,6000
S-1000277,C-1001037,N-1002415,2021/1/1,6000
S-1000278,C-1000342,N-1001305,2021/1/1,9000
S-1000279,C-1001196,N-1003054,2021/1/1,21000
S-1000280,C-1000222,N-1003302,2021/1/1,6000
S-1000281,C-1001283,N-1003300,2021/1/1,29000
S-1000282,C-1000495,N-1001753,2021/1/1,13000
S-1000283,C-1001196,N-1003053,2021/1/1,21000
S-1000284,C-1000770,N-1001754,2021/1/1,13000
S-1000285,C-1001196,N-1003052,2021/1/1,21000
S-1000286,C-1000770,N-1001755,2021/1/1,13000
S-1000287,C-1001198,N-1003051,2021/1/1,50000
S-1000288,C-1001283,N-1003301,2021/1/1,29000
S-1000289,C-1000390,N-1003050,2021/1/1,29000
S-1000290,C-1000523,N-1002106,2021/1/1,21000
S-1000291,C-1000523,N-1002107,2021/1/1,21000
S-1000364,C-1000524,N-1002108,2021/1/1,80000
S-1000365,C-1001278,N-1003299,2021/1/1,9000
S-1000366,C-1000524,N-1002109,2021/1/1,80000
S-1000367,C-1001223,N-1003133,2021/1/1,30000
S-1000368,C-1000951,N-1003132,2021/1/1,30000
S-1000369,C-1000409,N-1002790,2021/1/1,50000
S-1000370,C-1000782,N-1001889,2021/1/1,50000
S-1000371,C-1000734,N-1001681,2021/1/1,29000
S-1000372,C-1000748,N-1002264,2021/1/1,9000
S-1000373,C-1000748,N-1002263,2021/1/1,9000
S-1000374,C-1000072,N-1000075,2021/1/1,10000
S-1000447,C-1000905,N-1002510,2021/1/1,10000
S-1000448,C-1000734,N-1001682,2021/1/1,29000
S-1000449,C-1000222,N-1000272,2021/1/1,9000
S-1000450,C-1000577,N-1001166,2021/1/1,80000
S-1000451,C-1000222,N-1000273,2021/1/1,6000
S-1000452,C-1000222,N-1000274,2021/1/1,50000
S-1000453,C-1000072,N-1000074,2021/1/1,10000
S-1000454,C-1000222,N-1000275,2021/1/1,50000
S-1000455,C-1000409,N-1000586,2021/1/1,50000
S-1000456,C-1000409,N-1000587,2021/1/1,50000
S-1000457,C-1000222,N-1000276,2021/1/1,50000
S-1000458,C-1000222,N-1002511,2021/1/1,50000
S-1000459,C-1000202,N-1001167,2021/1/1,80000
S-1000460,C-1000577,N-1001168,2021/1/1,80000
S-1000461,C-1000202,N-1001169,2021/1/1,80000
S-1000462,C-1000656,N-1001416,2021/1/1,30000
S-1000463,C-1000390,N-1001944,2021/1/1,29000
S-1000464,C-1000390,N-1001943,2021/1/1,29000
S-1000465,C-1000346,N-1001941,2021/1/1,13000
S-1000466,C-1000644,N-1001940,2021/1/1,50000
S-1000467,C-1000266,N-1000818,2021/1/1,80000
S-1000468,C-1000266,N-1000819,2021/1/1,80000
S-1000469,C-1000656,N-1001417,2021/1/1,30000
S-1000470,C-1000770,N-1002509,2021/1/1,13000
S-1000549,C-1000202,N-1001170,2021/1/1,80000
S-1000550,C-1000892,N-1001965,2021/1/1,29000
S-1000551,C-1000892,N-1001966,2021/1/1,29000
S-1000552,C-1000506,N-1001967,2021/1/1,80000
S-1000553,C-1000506,N-1001968,2021/1/1,80000
S-1000554,C-1000821,N-1002715,2021/1/1,29000
S-1000555,C-1000222,N-1000588,2021/1/1,50000
S-1000556,C-1000527,N-1002512,2021/1/1,9000
S-1000557,C-1001259,N-1003210,2021/1/1,13000
S-1000558,C-1000223,N-1000278,2021/1/1,15000
S-1000559,C-1000821,N-1001680,2021/1/1,50000
S-1000560,C-1000251,N-1000325,2021/1/1,9000
S-1000561,C-1000284,N-1001569,2021/1/1,30000
S-1000562,C-1000821,N-1001679,2021/1/1,50000
S-1000563,C-1000223,N-1000277,2021/1/1,15000
S-1000564,C-1000792,N-1001571,2021/1/1,9000
S-1000565,C-1000284,N-1001572,2021/1/1,30000
S-1000566,C-1000284,N-1001573,2021/1/1,30000
S-1000567,C-1001259,N-1003213,2021/1/1,13000
S-1000568,C-1000547,N-1000943,2021/1/1,30000
S-1000569,C-1001259,N-1003212,2021/1/1,13000
S-1000570,C-1001259,N-1003211,2021/1/1,13000
S-1000571,C-1000614,N-1001171,2021/1/2,15000
S-1000572,C-1000614,N-1001172,2021/1/2,15000
S-1000653,C-1000021,N-1001215,2021/1/2,13000
S-1000654,C-1001141,N-1002794,2021/1/2,10000
S-1000655,C-1000953,N-1002184,2021/1/2,50000
